number,kanji,kanji,pronunciation,example,comments
359,九,九,"キュウ  ク  ここの  ここのつ","九百，三拝九拝 九分九厘，九月 九日，九重 九つ",,
360,久,久,"キュウ   ク  ひさしい","永久，持久，耐久 久遠 久しい，久々",,
361,及,及,"キュウ  およぶ  および  およぼす","及第，追及，普及 及ぶ，及び腰 及び〔接〕 及ぼす",,
362,弓,弓,"キュウ  ゆみ","弓道，弓状，洋弓 弓，弓矢",,
363,丘,丘,"キュウ  おか","丘陵，砂丘 丘",,
364,旧（舊）,旧,キュウ,旧道，新旧，復旧,,
365,休,休,"キュウ  やすむ  やすまる  やすめる","休止，休憩，定休 休む，休み 休まる 休める，気休め",,
366,吸,吸,"キュウ  すう","吸収，吸入，呼吸 吸う",,
367,朽,朽,"キュウ  くちる","不朽，老朽，腐朽 朽ちる",,
368,臼,臼,"キュウ  うす","臼歯，脱臼 石臼",,
369,求,求,"キュウ  もとめる","求職，要求，追求 求める，求め",,
370,究,究,"キュウ  きわめる","究明，研究，学究 究める",⇔窮める，極める,
371,泣,泣,"キュウ  なく","号泣，感泣 泣く，泣き沈む",,
372,急,急,"キュウ  いそぐ","急速，急務，緊急 急ぐ，急ぎ",,
373,級,级,キュウ,等級，上級，階級,,
374,糾,纠,キュウ,糾弾，紛糾,,
375,宮,宫,"キュウ  グウ   ク  みや","宮殿，宮廷，離宮 宮司，神宮，東宮  宮，宮様",「宮内庁」などと使う。,
376,救,救,"キュウ  すくう","救助，救援，救急 救う，救い",,
377,球,球,"キュウ  たま","球形，球技，地球 球",⇔玉，弾,
378,給,给,キュウ,給水，配給，月給,,
379,嗅,嗅,"キュウ  かぐ","嗅覚 嗅ぐ",＊［（付）第２の３参照］,
380,窮,穷,"キュウ  きわめる  きわまる","窮極，窮屈，困窮 窮める 窮まる","⇔究める，極める ⇔極まる",
381,牛,牛,"ギュウ  うし","牛馬，牛乳，闘牛 牛",,
382,去,去,"キョ  コ  さる","去年，去就，除去 過去 去る，去る○日",,
383,巨,巨,キョ,巨大，巨匠，巨万,,
384,居,居,"キョ  いる","居住，居室，住居 居る，芝居",居士（こじ）,
385,拒,拒,"キョ  こばむ","拒絶，拒否 拒む",,
386,拠（據）,据,"キョ  コ","拠点，占拠，根拠 証拠",,
387,挙（擧）,举,"キョ  あげる  あがる","挙手，挙国，壮挙 挙げる，挙げて〔副〕 挙がる","⇔上げる，揚げる ⇔上がる，揚がる",
388,虚（虛）,虚,"キョ   コ","虚無，虚偽，空虚 虚空，虚無僧",,
389,許,许,"キョ  ゆるす","許可，許諾，特許 許す，許し",,
390,距,距,キョ,距離,,
391,魚,鱼,"ギョ  うお  さかな","魚類，金魚，鮮魚 魚，魚市場 魚，魚屋，煮魚",雑魚（ざこ）,
392,御,御,"ギョ  ゴ  おん","御者，制御 御飯，御用，御殿 御中，御礼",,
393,漁,渔,"ギョ  リョウ","漁業，漁船，漁村 漁師，大漁，不漁",「猟」の字音の転用。,
394,凶,凶,キョウ,凶悪，凶作，吉凶,,
395,共,共,"キョウ  とも","共同，共通，公共 共に，共々，共食い",,
396,叫,叫,"キョウ  さけぶ","叫喚，絶叫 叫ぶ，叫び",,
397,狂,狂,"キョウ  くるう  くるおしい","狂気，狂言，熱狂 狂う 狂おしい",,
398,京,京,"キョウ  ケイ",京風，上京，帰京,「京浜」，「京阪」などと使う。,
399,享,享,キョウ,享有，享受，享楽,,
400,供,供,"キョウ   ク  そなえる  とも","供給，提供，自供 供物，供養 供える，お供え 供，子供",⇔備える,
401,協,协,キョウ,協力，協会，妥協,,
402,況,况,キョウ,状況，実況，概況,,
403,峡（峽）,峡,キョウ,峡谷，地峡，海峡,,
404,挟（挾）,挟,"キョウ  はさむ  はさまる","挟撃 挟む 挟まる",,
405,狭（狹）,狭,"キョウ  せまい  せばめる  せばまる","狭量，広狭，偏狭 狭い，狭苦しい 狭める 狭まる",,
406,恐,恐,"キョウ  おそれる  おそろしい","恐怖，恐縮，恐慌 恐れる，恐れ，恐らく 恐ろしい",⇔畏れる,
407,恭,恭,"キョウ  うやうやしい","恭賀，恭順 恭しい",,
408,胸,胸,"キョウ  むね   むな","胸囲，胸中，度胸 胸 胸板，胸毛，胸騒ぎ",,
409,脅,胁,"キョウ  おびやかす  おどす  おどかす","脅迫，脅威 脅かす 脅す，脅し，脅し文句 脅かす",,
410,強,强,"キョウ  ゴウ  つよい  つよまる  つよめる  しいる","強弱，強要，勉強 強引，強情，強盗 強い，強がる 強まる 強める 強いる，無理強い",,
411,教,教,"キョウ  おしえる  おそわる","教育，教訓，宗教 教える，教え 教わる",,
412,郷（鄕）,乡,"キョウ  ゴウ","郷里，郷土，異郷 郷士，近郷，在郷",,
413,境,境,"キョウ   ケイ  さかい","境界，境地，逆境 境内 境，境目",,
414,橋,桥,"キョウ  はし","橋脚，鉄橋，歩道橋 橋，丸木橋",,
415,矯,矫,"キョウ  ためる","矯正，奇矯 矯める，矯め直す",,
416,鏡,镜,"キョウ  かがみ","鏡台，望遠鏡，反射鏡 鏡",眼鏡（めがね）,
417,競,竞,"キョウ  ケイ  きそう  せる","競争，競技，競泳 競馬，競輪 競う 競る，競り合う",,
418,響（響）,响,"キョウ  ひびく","音響，影響，交響楽 響く，響き",,
419,驚,惊,"キョウ  おどろく  おどろかす","驚異，驚嘆 驚く，驚き 驚かす",,
420,仰,仰,"ギョウ   コウ  あおぐ  おおせ","仰視，仰天，仰角 信仰 仰ぐ 仰せ",,
421,暁（曉）,晓,"ギョウ  あかつき","暁天，今暁，通暁 暁",,
422,業,业,"ギョウ  ゴウ  わざ","業績，職業，卒業 業病，罪業，自業自得 業，仕業，早業",⇔技,
423,凝,凝,"ギョウ  こる  こらす","凝固，凝結，凝視 凝る，凝り性 凝らす",,
424,曲,曲,"キョク  まがる  まげる","曲線，曲面，名曲 曲がる 曲げる",,
425,局,局,キョク,局部，時局，結局,,
426,極,极,"キョク  ゴク  きわめる    きわまる  きわみ","極限，終極，積極的 極上，極秘，至極 極める，極め付き， 極めて〔副〕 極まる，極まり 極み","⇔究める，窮める  ⇔窮まる",
427,玉,玉,"ギョク  たま","玉座，玉石，宝玉 玉，目玉",⇔球，弾,
428,巾,巾,キン,頭巾，雑巾,,
429,斤,斤,キン,斤量,,
430,均,均,キン,均等，均一，平均,,
431,近,近,"キン  ちかい","近所，近代，接近 近い，近づく，近道",,
432,金,金,"キン  コン  かね   かな","金属，金銭，純金 金色，金剛力，黄金 金，金持ち，針金 金物，金具，金縛り",,
433,菌,菌,キン,細菌，殺菌，保菌者,,
434,勤（勤）,勤,"キン   ゴン  つとめる  つとまる","勤務，勤勉，出勤 勤行 勤める，勤め 勤まる","⇔努める，務める ⇔務まる",
435,琴,琴,"キン  こと","琴線，木琴，手風琴 琴",,
436,筋,筋,"キン  すじ","筋肉，筋骨，鉄筋 筋，筋書，大筋",,
437,僅,仅,"キン  わずか","僅差 僅かだ",＊［（付）第２の３参照］,
438,禁,禁,キン,禁止，禁煙，厳禁,,
439,緊,紧,キン,緊張，緊密，緊急,,
440,錦,锦,"キン  にしき","錦秋 錦絵",,
441,謹（謹）,谨,"キン  つつしむ","謹慎，謹賀，謹呈 謹む，謹んで〔副〕",⇔慎む,
442,襟,襟,"キン  えり","襟度，開襟，胸襟 襟，襟首",,
443,吟,吟,ギン,吟味，詩吟，苦吟,,
444,銀,银,ギン,銀貨，銀行，水銀,,
445,区（區）,区,ク,区別，区々，地区,,
446,句,句,ク,句集，字句，節句,,
447,苦,苦,"ク  くるしい  くるしむ  くるしめる  にがい  にがる","苦心，苦労，辛苦 苦しい，苦しがる，見苦しい 苦しむ，苦しみ 苦しめる 苦い，苦虫，苦々しい 苦り切る",,
448,駆（驅）,驱,"ク  かける  かる","駆使，駆逐，先駆 駆ける，抜け駆け 駆る，駆り立てる",,
449,具,具,グ,具体的，具備，道具,,
450,惧,惧,グ,危惧,＊［（付）第２の３参照］,
451,愚,愚,"グ  おろか","愚問，愚鈍，暗愚 愚かだ，愚かしい",,
452,空,空,"クウ  そら  あく  あける  から","空想，空港，上空 空，空色，青空 空く，空き巣 空ける 空，空手，空手形","⇔開く，明く ⇔開ける，明ける",
453,偶,偶,グウ,偶然，偶数，配偶者,,
454,遇,遇,グウ,境遇，待遇，遇する,,
455,隅,隅,"グウ  すみ","一隅 隅，片隅",,
456,串,串,くし,串刺し，串焼き,,
457,屈,屈,クツ,屈辱，屈伸，不屈，理屈,,
458,掘,掘,"クツ  ほる","掘削，発掘，採掘 掘る",,
459,窟,窟,クツ,巣窟，洞窟,,
460,熊,熊,くま,熊,,
461,繰,繰,くる,繰る，繰り返す,,
462,君,君,"クン  きみ","君主，君臨，諸君 君，母君",,
463,訓,训,クン,訓練，教訓，音訓,,
464,勲（勳）,勋,クン,勲功，勲章，殊勲,,
465,薫（薰）,熏,"クン  かおる","薫風，薫陶 薫る，薫り",⇔香る,
466,軍,军,グン,軍隊，軍備，空軍,,
467,郡,郡,グン,郡部，○○郡,,
468,群,群,"グン  むれる  むれ   むら","群居，大群，抜群 群れる 群れ 群すずめ，群千鳥，群がる",,
469,兄,兄,"ケイ   キョウ  あに","兄事，父兄，義兄 兄弟 兄","兄（にい）さん 「兄弟」は，「ケイテイ」と読むこともある。",
470,刑,刑,ケイ,刑罰，刑法，処刑,,
471,形,形,"ケイ  ギョウ  かた  かたち","形態，形成，図形 形相，人形 形，形見，手形 形",⇔型,
472,系,系,ケイ,系統，系列，体系,,
473,径（徑）,径,ケイ,直径，直情径行,,
474,茎（莖）,茎,"ケイ  くき","球茎，地下茎 茎，歯茎",,
475,係,系,"ケイ  かかる  かかり","係累，係争，関係 係る 係，係員，庶務係","⇔掛かる ⇔掛",
476,型,型,"ケイ  かた","原型，模型，典型 型，型紙，血液型",⇔形,
477,契,契,"ケイ  ちぎる","契約，契機，黙契 契る，契り",,
478,計,计,"ケイ  はかる  はからう","計算，計画，寒暖計 計る 計らう，計らい","時計（とけい） ⇔測る，量る，図る，謀る",
479,恵（惠）,恵,"ケイ  エ  めぐむ","恵贈，恵与，恩恵 恵方参り，知恵 恵む，恵み",,
480,啓,启,ケイ,啓発，啓示，拝啓,,
481,掲（揭）,揭,"ケイ  かかげる","掲示，掲載，前掲 掲げる",,
482,渓（溪）,溪,ケイ,渓谷，渓流，雪渓,,
483,経（經）,经,"ケイ  キョウ  へる","経費，経済，経験 経文，お経，写経 経る",読経（どきょう）,
484,蛍（螢）,萤,"ケイ  ほたる","蛍光灯，蛍光塗料 蛍",,
485,敬,敬,"ケイ  うやまう","敬意，敬服，尊敬 敬う",,
486,景,景,ケイ,景気，風景，光景,景色（けしき）,
487,軽（輕）,轻,"ケイ  かるい  かろやか","軽快，軽薄，軽率 軽い，軽々と，手軽だ 軽やかだ",,
488,傾,倾,"ケイ  かたむく  かたむける","傾斜，傾倒，傾向 傾く，傾き 傾ける",,
489,携,携,"ケイ  たずさえる  たずさわる","携帯，必携，提携 携える 携わる",,
490,継（繼）,继,"ケイ  つぐ","継続，継承，中継 継ぐ，継ぎ",⇔接ぐ，次ぐ,
491,詣,诣,"ケイ  もうでる","参詣 詣でる，初詣",,
492,慶,庆,ケイ,慶弔，慶祝，慶賀,,
493,憬,憬,ケイ,憧憬,,
494,稽,稽,ケイ,稽古，滑稽,＊［（付）第２の３参照］,
495,憩,憩,"ケイ  いこい  いこう","休憩 憩い 憩う",,
496,警,警,ケイ,警告，警戒，警察,,
497,鶏（鷄）,鸡,"ケイ  にわとり","鶏卵，鶏舎，養鶏 鶏",,
498,芸（藝）,艺,ゲイ,芸術，芸能，文芸,,
499,迎,迎,"ゲイ  むかえる","迎合，歓迎，送迎 迎える，出迎え",,
500,鯨,鲸,"ゲイ  くじら","鯨油，捕鯨 鯨",,
501,隙,隙,"ゲキ  すき","間隙 隙間",「隙間」は，「透き間」とも書く。,
502,劇,剧,ゲキ,劇薬，劇場，演劇,,
503,撃（擊）,击,"ゲキ  うつ","撃退，攻撃，打撃 撃つ，早撃ち",⇔打つ，討つ,
504,激,激,"ゲキ  はげしい","激動，感激，激する 激しい，激しさ",,
505,桁,桁,けた,桁違い，橋桁,,
506,欠（缺）,欠,"ケツ  かける  かく","欠乏，欠席，補欠 欠ける 欠く",,
507,穴,穴,"ケツ  あな","穴居，墓穴 穴",,
508,血,血,"ケツ  ち","血液，血統，鮮血 血，鼻血",,
509,決,決,"ケツ  きめる  きまる","決裂，決意，解決 決める，取り決め 決まる，決まり",,
510,結,结,"ケツ  むすぶ  ゆう  ゆわえる","結論，結婚，連結 結ぶ，結び 結う，元結 結わえる",,
511,傑,杰,ケツ,傑物，傑作，豪傑,,
512,潔,洁,"ケツ  いさぎよい","潔白，清潔，純潔 潔い",,
513,月,月,"ゲツ  ガツ  つき","月曜，明月，歳月 正月，九月 月，月見，三日月","五月（さつき） 五月雨（さみだれ）",
514,犬,犬,"ケン  いぬ","犬歯，愛犬，野犬 犬",,
515,件,件,ケン,件数，事件，条件,,
516,見,见,"ケン  みる  みえる  みせる","見学，見地，意見 見る，下見 見える 見せる，顔見せ",⇔診る,
517,券,券,ケン,乗車券，旅券，債券,,
518,肩,肩,"ケン  かた","肩章，双肩，比肩 肩",,
519,建,建,"ケン   コン  たてる  たつ","建築，建議，封建的 建立 建てる，建物，二階建て 建つ，一戸建ち","⇔立てる ⇔立つ",
520,研（硏）,研,"ケン  とぐ","研究，研修 研ぐ",,
521,県（縣）,县,ケン,県庁，県立，○○県,,
522,倹（儉）,俭,ケン,倹約，節倹，勤倹,,
523,兼,兼,"ケン  かねる","兼用，兼任，兼職 兼ねる",,
524,剣（劍）,剑,"ケン  つるぎ","剣道，剣舞，刀剣 剣",,
525,拳,拳,"ケン  こぶし","拳銃，拳法 握り拳",,
526,軒,轩,"ケン  のき","軒数，一軒 軒，軒先",,
527,健,健,"ケン  すこやか","健康，健闘，強健 健やかだ",,
528,険（險）,险,"ケン  けわしい","険悪，危険，保険 険しい，険しさ",,
529,圏（圈）,圈,ケン,圏内，圏外，成層圏,,
530,堅,坚,"ケン  かたい","堅固，堅実，中堅 堅い",⇔硬い，固い,
531,検（檢）,检,ケン,検査，検討，点検,,
532,嫌,嫌,"ケン   ゲン  きらう  いや","嫌悪，嫌疑 機嫌 嫌う，嫌い 嫌だ，嫌がる，嫌気がさす",,
533,献（獻）,献,"ケン   コン","献上，献身的，文献 献立，一献",,
534,絹,绢,"ケン  きぬ","絹布，人絹 絹，薄絹",,
535,遣,遣,"ケン  つかう  つかわす","遣外，派遣，分遣 遣う，金遣い 遣わす",⇔使う,
536,権（權）,权,"ケン   ゴン","権利，権威，人権 権化，権現",,
537,憲,宪,ケン,憲法，憲章，官憲,,
538,賢,贤,"ケン  かしこい","賢人，賢明，先賢 賢い",,
539,謙,谦,ケン,謙虚，謙譲,,
540,鍵,键,"ケン  かぎ","鍵盤 鍵，鍵穴",,
541,繭,茧,"ケン  まゆ","繭糸 繭，繭玉",,
542,顕（顯）,显,ケン,顕著，顕彰，顕微鏡,,
543,験（驗）,验,"ケン   ゲン","試験，経験，実験 験がある，霊験",,
544,懸,悬,"ケン   ケ  かける  かかる","懸垂，懸賞，懸命 懸念，懸想 懸ける，命懸け 懸かる","⇔掛ける，架ける，賭ける ⇔掛かる，架かる",
545,元,元,"ゲン  ガン  もと","元素，元気，多元 元祖，元日，元来 元，元帳，家元",⇔下，本，基,
546,幻,幻,"ゲン  まぼろし","幻滅，幻覚，夢幻 幻",,
547,玄,玄,ゲン,玄米，玄関，幽玄,玄人（くろうと）,
548,言,言,"ゲン  ゴン  いう  こと","言行，言論，宣言 言上，伝言，無言 言う，物言い 言葉，寝言",,
549,弦,弦,"ゲン  つる","上弦，正弦 弦",,
550,限,限,"ゲン  かぎる","限度，制限，期限 限る，限り",,
551,原,原,"ゲン  はら","原因，原理，高原 原，野原，松原","海原（うなばら） 河原・川原（かわら）",
552,現,現,"ゲン  あらわれる  あらわす","現象，現在，表現 現れる，現れ 現す","⇔表れる ⇔表す，著す",
553,舷,舷,ゲン,舷側，右舷,,
554,減,减,"ゲン  へる  へらす","減少，増減，加減 減る，目減り 減らす，人減らし",,
555,源,源,"ゲン  みなもと","源泉，水源，資源 源",,
556,厳（嚴）,严,"ゲン   ゴン  おごそか  きびしい","厳格，厳重，威厳 荘厳 厳かだ 厳しい，厳しさ",,
557,己,己,"コ  キ  おのれ","自己，利己 知己，克己 己",,
558,戸,户,"コ  と","戸外，戸籍，下戸 戸，雨戸",,
559,古,古,"コ  ふるい  ふるす","古代，古典，太古 古い，古株，古びる 使い古す",,
560,呼,呼,"コ  よぶ","呼吸，呼応，点呼 呼ぶ，呼び声",,
561,固,固,"コ  かためる  かたまる  かたい","固定，固有，堅固 固める，固め 固まる，固まり 固い，固さ","固唾（かたず） ⇔堅い，硬い",
562,股,股,"コ  また","股間，股関節 内股，大股",,
563,虎,虎,"コ  とら","虎穴，猛虎 虎",,
564,孤,孤,コ,孤児，孤独，孤立,,
565,弧,弧,コ,弧状，括弧，円弧,,
566,故,故,"コ  ゆえ","故郷，故意，事故 故，故に",,
567,枯,枯,"コ  かれる  からす","枯死，枯淡，栄枯 枯れる，枯れ木 枯らす，木枯らし",,
568,個,个,コ,個人，個性，一個,,
569,庫,库,"コ   ク","倉庫，文庫，車庫 庫裏",,
570,湖,湖,"コ  みずうみ","湖水，湖沼，湖畔 湖",,
571,雇,雇,"コ  やとう","雇用，雇員，解雇 雇う，日雇い",,
572,誇,夸,"コ  ほこる","誇示，誇大，誇張 誇る，誇り，誇らしい",,
573,鼓,鼓,"コ  つづみ","鼓動，鼓舞，太鼓 鼓，小鼓",,
574,錮,锢,コ,禁錮,,
575,顧,顾,"コ  かえりみる","顧慮，顧問，回顧 顧みる",⇔省みる,
576,五,五,"ゴ  いつ  いつつ","五穀，五色，五目飯 五日 五つ","五月（さつき） 五月雨（さみだれ）",
577,互,互,"ゴ  たがい","互角，互選，相互 互い，互いに，互い違い",,
578,午,午,ゴ,午前，正午，子午線,,
579,呉,吴,ゴ,呉服，呉越同舟,,
580,後,后,"ゴ  コウ  のち  うしろ  あと  おくれる","後刻，前後，午後 後続，後悔，後輩 後，後添い，後の世 後ろ，後ろめたい 後，後味，後回し 後れる，後れ毛，気後れ","⇔跡，痕 ⇔遅れる",
581,娯,娱,ゴ,娯楽,,
582,悟,悟,"ゴ  さとる","悟性，覚悟，悔悟 悟る，悟り",,
583,碁,基,ゴ,碁石，碁盤，囲碁,,
584,語,语,"ゴ  かたる  かたらう","語学，新語，国語 語る，物語 語らう，語らい",,
585,誤,误,"ゴ  あやまる","誤解，正誤，錯誤 誤る，誤り",,
586,護,护,ゴ,護衛，救護，保護,,
587,口,口,"コウ  ク  くち","口述，人口，開口 口調，口伝，異口同音 口，口絵，出口",,
588,工,工,"コウ  ク","工場，加工，人工 工面，細工，大工",,
589,公,公,"コウ  おおやけ","公平，公私，公園 公",,
590,勾,勾,コウ,勾配，勾留,,
591,孔,孔,コウ,鼻孔，気孔,,
592,功,功,"コウ   ク","功名，功績，成功 功徳",,
593,巧,巧,"コウ  たくみ","巧拙，巧妙，技巧 巧みな術",,
594,広（廣）,广,"コウ  ひろい  ひろまる  ひろめる  ひろがる  ひろげる","広大，広言，広義 広い，広場，広々と 広まる 広める 広がる，広がり 広げる",,
595,甲,甲,"コウ  カン","甲乙，装甲車 甲板，甲高い",「甲板」は，「コウハン」とも。,
596,交,交,"コウ  まじわる  まじえる  まじる  まざる  まぜる  かう  かわす","交通，交番，社交 交わる，交わり 交える 交じる 交ざる 交ぜる，交ぜ織り 飛び交う 交わす","⇔混じる ⇔混ざる ⇔混ぜる",
597,光,光,"コウ  ひかる  ひかり","光線，栄光，観光 光る，光り輝く 光，稲光",,
598,向,向,"コウ  むく  むける  むかう  むこう","向上，傾向，趣向 向く，向き 向ける，顔向け 向かう，向かい 向こう，向こう側",,
599,后,后,コウ,皇后，皇太后,,
600,好,好,"コウ  このむ  すく","好意，好敵手，良好 好む，好み，好ましい 好く，好き嫌い，好きな絵",,
601,江,江,"コウ  え","江湖 入り江",,
602,考,考,"コウ  かんがえる","考慮，思考，参考 考える，考え",,
603,行,行,"コウ  ギョウ   アン  いく  ゆく   おこなう","行進，行為，旅行 行列，行政，修行 行脚，行火 行く 行く，行く末  行う，行い","⇔逝く 行方（ゆくえ） ⇔逝く",
604,坑,坑,コウ,坑道，炭坑，廃坑,,
605,孝,孝,コウ,孝行，孝心，不孝,,
606,抗,抗,コウ,抗争，抗議，対抗,,
607,攻,攻,"コウ  せめる","攻守，攻撃，専攻 攻める",,
608,更,更,"コウ  さら  ふける  ふかす","更新，更迭，変更 更に，今更 更ける，夜更け 更かす，夜更かし",,
609,効（效）,效,"コウ  きく","効果，効力，時効 効く，効き目",⇔利く,
610,幸,幸,"コウ  さいわい  さち  しあわせ","幸福，不幸，行幸 幸い，幸いな事 幸 幸せ，幸せな人",,
611,拘,拘,コウ,拘束，拘留，拘置,,
612,肯,肯,コウ,肯定，首肯,,
613,侯,侯,コウ,諸侯，王侯,,
614,厚,厚,"コウ  あつい","厚情，厚生，濃厚 厚い，厚み",,
615,恒（恆）,恒,コウ,恒常，恒例，恒久,,
616,洪,洪,コウ,洪水，洪積層,,
617,皇,皇,"コウ  オウ","皇帝，皇室，皇后 法皇",「天皇」は，「テンノウ」。,
618,紅,红,"コウ   ク  べに  くれない","紅白，紅茶，紅葉 真紅，深紅 紅，口紅 紅",紅葉（もみじ）,
619,荒,荒,"コウ  あらい  あれる  あらす","荒天，荒廃，荒涼 荒い，荒波，荒々しい 荒れる，荒れ地，大荒れ 荒らす，倉庫荒らし",⇔粗い,
620,郊,郊,コウ,郊外，近郊,,
621,香,香,"コウ   キョウ  か  かおり  かおる","香水，香気，線香 香車 香，色香，移り香 香り 香る","⇔薫り ⇔薫る",
622,候,候,"コウ  そうろう","候補，気候，測候所 候文，居候",,
623,校,校,コウ,校閲，将校，学校,,
624,耕,耕,"コウ  たがやす","耕作，耕地，農耕 耕す",,
625,航,航,コウ,航海，航空，就航,,
626,貢,贡,"コウ   ク  みつぐ","貢献 年貢 貢ぐ，貢ぎ物",,
627,降,降,"コウ  おりる  おろす  ふる","降雨，降参，下降 降りる，乗り降り 降ろす 降る，大降り","⇔下りる ⇔下ろす，卸す",
628,高,高,"コウ  たかい  たか  たかまる  たかめる","高低，高級，最高 高い，高台，高ぶる 高，売上高 高まる，高まり 高める",,
629,康,康,コウ,健康，小康,,
630,控,控,"コウ  ひかえる","控除，控訴 控える，控え",,
631,梗,梗,コウ,心筋梗塞，脳梗塞,,
632,黄（黃）,黄,"コウ  オウ  き   こ","黄葉 黄金，卵黄 黄，黄色い，黄ばむ 黄金",硫黄（いおう）,
633,喉,喉,"コウ  のど","喉頭，咽喉 喉，喉元",,
634,慌,慌,"コウ  あわてる  あわただしい","恐慌 慌てる，大慌て 慌ただしい，慌ただしさ，慌ただしげだ",,
635,港,港,"コウ  みなと","港湾，漁港，出港 港",,
636,硬,硬,"コウ  かたい","硬度，硬貨，生硬 硬い，硬さ",⇔堅い，固い,
637,絞,绞,"コウ  しぼる  しめる  しまる","絞殺，絞首刑 絞る，絞り上げる，絞り 絞める 絞まる","⇔搾る ⇔締める ⇔締まる",
638,項,項,コウ,項目，事項，条項,,
639,溝,沟,"コウ  みぞ","下水溝，排水溝 溝",,
640,鉱（鑛）,矿,コウ,鉱物，鉱山，鉄鉱,,
641,構,构,"コウ  かまえる  かまう","構造，構内，結構 構える，構え 構う，構わない",,
642,綱,纲,"コウ  つな","綱紀，綱領，大綱 綱，横綱",,
643,酵,酵,コウ,酵母,,
644,稿,稿,コウ,草稿，原稿，投稿,,
645,興,兴,"コウ  キョウ  おこる  おこす","興行，復興，振興 興味，興趣，余興 興る 興す","⇔起こる ⇔起こす",
646,衡,衡,コウ,均衡，平衡，度量衡,,
647,鋼,钢,"コウ  はがね","鋼鉄，鋼材，製鋼 鋼",,
648,講,讲,コウ,講義，講演，聴講,,
649,購,购,コウ,購入，購買，購読,,
650,乞,乞,こう,乞う，命乞い,⇔請う,
651,号（號）,号,ゴウ,号令，号外，番号,,
652,合,合,"ゴウ  ガッ   カッ  あう  あわす  あわせる","合同，合計，結合 合併，合宿，合点 合戦 合う，落ち合う，試合 合わす 合わせる，問い合わせる","「合点」は，「ガテン」とも。  ⇔会う，遭う  ⇔併せる",
653,拷,拷,ゴウ,拷問,,
654,剛,刚,ゴウ,剛健，金剛力,,
655,傲,傲,ゴウ,傲然，傲慢,,
656,豪,豪,ゴウ,豪遊，豪雨，文豪,,
657,克,克,コク,克服，克明，克己,,
658,告,告,"コク  つげる","告示，告白，報告 告げる",,
659,谷,谷,"コク  たに","幽谷 谷，谷川",,
660,刻,刻,"コク  きざむ","彫刻，時刻，深刻 刻む，刻み",,
661,国（國）,国,"コク  くに","国際，国家，外国 国，島国",,
662,黒（黑）,黑,"コク  くろ  くろい","黒板，漆黒，暗黒 黒，真っ黒，白黒 黒い，黒さ，腹黒い",,
663,穀（穀）,谷,コク,穀物，雑穀，脱穀,,
664,酷,酷,コク,酷似，冷酷，残酷,,
665,獄,狱,ゴク,獄舎，地獄，疑獄,,
666,骨,骨,"コツ  ほね","骨子，筋骨，老骨 骨，骨折り",,
667,駒,驹,こま,持ち駒,,
668,込,,"こむ  こめる","込む 込める，やり込める",⇔混む,
669,頃,顷,ころ,頃，日頃,,
670,今,今,"コン  キン  いま","今後，今日，今朝，今年，昨今 今上 今，今し方","今日（きょう） 今朝（けさ） 今年（ことし）",
671,困,困,"コン  こまる","困難，困窮，貧困 困る",,
672,昆,昆,コン,昆虫，昆布,「昆布」は，「コブ」とも。,
673,恨,恨,"コン  うらむ  うらめしい","遺恨，痛恨，悔恨 恨む，恨み 恨めしい",,
674,根,根,"コン  ね","根拠，根気，平方根 根，根強い，屋根",,
675,婚,婚,コン,婚約，結婚，新婚,,
676,混,混,"コン  まじる  まざる  まぜる  こむ","混合，混雑，混迷 混じる，混じり物 混ざる 混ぜる，混ぜ物 混む，混み合う，人混み","⇔交じる ⇔交ざる ⇔交ぜる ⇔込む 「混み合う」，「人混み」は，「込み合う」，「人込み」とも書く。",
677,痕,痕,"コン  あと","痕跡，血痕 痕，傷痕",⇔跡，後,
678,紺,绀,コン,紺青，紺屋，濃紺,「紺屋」は，「コウや」とも。,
679,魂,魂,"コン  たましい","魂胆，霊魂，商魂 魂，負けじ魂",,
680,墾,垦,コン,開墾,,
681,懇,恳,"コン  ねんごろ","懇切，懇親会 懇ろだ",,
682,左,左,"サ  ひだり","左右，左翼，左遷 左，左利き",,
683,佐,佐,サ,佐幕，補佐，大佐,,
684,沙,沙,サ,沙汰,,
685,査,査,サ,査察，調査，巡査,,
686,砂,砂,"サ  シャ  すな","砂丘，砂糖 土砂 砂，砂場",砂利（じゃり）,
687,唆,唆,"サ  そそのかす","教唆，示唆 唆す",,
688,差,差,"サ  さす","差異，差別，誤差 差す","差し支える（さしつかえる） ⇔刺す，指す，挿す",
689,詐,诈,サ,詐欺，詐取，詐称,,
690,鎖,锁,"サ  くさり","鎖国，連鎖，封鎖 鎖",,
691,座,座,"ザ  すわる","座席，座談，星座 座る，座り込み",⇔据わる,
692,挫,挫,ザ,挫折，頓挫,,
693,才,才,サイ,才能，才覚，秀才,,
694,再,再,"サイ   サ  ふたたび","再度，再選，再出発 再来年，再来月，再来週 再び",,
695,災,灾,"サイ  わざわい","災害，災難，火災 災い",,
696,妻,妻,"サイ  つま","妻子，夫妻，良妻 妻，人妻",,
697,采,采,サイ,采配，喝采,,
698,砕（碎）,碎,"サイ  くだく  くだける","砕石，砕氷，粉砕 砕く 砕ける",,
699,宰,宰,サイ,宰領，宰相，主宰,,
700,栽,栽,サイ,栽培，盆栽,,
