number,kanji,kanji,pronunciation,example,comments
312,季,季,キ,季節，四季，雨季,,
313,紀,纪,キ,紀行，紀元，風紀,,
314,軌,轨,キ,軌道，広軌，常軌,,
315,既（既）,既,"キ  すでに","既成，既婚，既往症 既に",,
316,記,记,"キ  しるす","記入，記号，伝記 記す",,
317,起,起,"キ  おきる  おこる  おこす","起立，起源，奮起 起きる，早起き 起こる 起こす","⇔興る ⇔興す",
318,飢,饥,"キ  うえる","飢餓 飢える，飢え",,
319,鬼,鬼,"キ  おに","鬼神，鬼才，餓鬼 鬼，鬼ごっこ，赤鬼",,
320,帰（歸）,归,"キ  かえる  かえす","帰還，帰納，復帰 帰る，帰り 帰す","⇔返る ⇔返す",
321,基,基,"キ  もと  もとい","基礎，基準，基地 基，基づく 基",⇔下，元，本,
322,寄,寄,"キ  よる  よせる","寄宿，寄贈，寄港 寄る，近寄る，身寄り 寄せる，人寄せ","数寄屋（すきや） 最寄り（もより） 寄席（よせ）",
323,規,规,キ,規則，規律，定規,,
324,亀（龜）,龟,"キ  かめ","亀裂 亀",,
325,喜,喜,"キ  よろこぶ","喜劇，悲喜，歓喜 喜ぶ，喜び，喜ばしい",,
326,幾,几,"キ  いく","幾何学 幾つ，幾ら，幾日",,
327,揮,挥,キ,揮発油，指揮，発揮,,
328,期,期,"キ   ゴ","期間，期待，予期 最期，この期に及んで",,
329,棋,棋,キ,棋士，棋譜，将棋,,
330,貴,贵,"キ  たっとい  とうとい  たっとぶ  とうとぶ","貴重，貴下，騰貴 貴い 貴い 貴ぶ 貴ぶ","⇔尊い ⇔尊い ⇔尊ぶ ⇔尊ぶ",
331,棄,弃,キ,棄権，放棄，遺棄,,
332,毀,毁,キ,毀損，毀誉,,
333,旗,旗,"キ  はた","旗手，旗艦，国旗 旗，旗色，手旗",,
334,器（器）,器,"キ  うつわ","器量，器用，陶器 器",,
335,畿,畿,キ,畿内，近畿,,
336,輝,辉,"キ  かがやく","輝石，光輝 輝く，輝き，輝かしい",,
337,機,机,"キ  はた","機械，機会，危機 機，機織り",,
338,騎,骑,キ,騎士，騎馬，一騎当千,,
339,技,技,"ギ  わざ","技術，技師，特技 技",⇔業,
340,宜,宜,ギ,適宜，便宜,,
341,偽（僞）,伪,"ギ  いつわる  にせ","偽名，真偽，虚偽 偽る，偽り 偽，偽物，偽札",,
342,欺,欺,"ギ  あざむく","詐欺 欺く",,
343,義,义,ギ,義理，意義，正義,,
344,疑,疑,"ギ  うたがう","疑念，疑問，容疑 疑う，疑い，疑わしい",,
345,儀,仪,ギ,儀式，威儀，地球儀,,
346,戯（戲）,戏,"ギ  たわむれる","戯曲，遊戯，児戯 戯れる，戯れ",,
347,擬,拟,ギ,擬音，擬人法，模擬,,
348,犠（犧）,牺,ギ,犠牲，犠打,,
349,議,议,ギ,議論，会議，異議,,
350,菊,菊,キク,菊，菊花，白菊,,
351,吉,吉,"キチ  キツ","吉日，吉例，大吉 吉報，不吉",「吉日」は，「キツジツ」とも。,
352,喫,喫,キツ,喫煙，満喫，喫する,,
353,詰,诘,"キツ  つめる  つまる  つむ","詰問，難詰，面詰 詰める，詰め物 詰まる，行き詰まる 詰む，詰み",,
354,却,却,キャク,却下，退却，売却,,
355,客,客,"キャク  カク","客間，客車，乗客 客死，主客，旅客",,
356,脚,脚,"キャク   キャ  あし","脚部，脚本，三脚 脚立，行脚 脚，机の脚",⇔足,
357,逆,逆,"ギャク  さか  さからう","逆上，逆転，順逆 逆立つ，逆さ，逆さま 逆らう",,
358,虐,虐,"ギャク  しいたげる","虐待，虐殺，残虐 虐げる",,
